strategy,feature,auc,auc_lift,direction,positive_median,background_median,positive_count,background_count
T4/S08,sma_50_slope_4,0.9447717918200635,0.44477179182006354,high,2.294999999999618,0.0262000000000171,47,142997
T4/S08,rsi_21,0.9422887030097837,0.44228870300978373,high,68.9882530646556,50.33944975505339,47,143030
T4/S08,adx_21_dmp_21,0.9422730836113834,0.4422730836113834,high,33.18901297139066,20.229829897677565,47,143030
T4/S08,close_minus_sma_50,0.9394011825836064,0.4394011825836064,high,17.78099999999972,0.12140000000022155,47,143001
T4/S08,adx_21_dmn_21,0.061683384381494136,0.4383166156185059,low,10.798744184933831,20.724608936787277,47,143030
T4/S08,wma_50_slope_4,0.9381968882251509,0.4381968882251509,high,2.569835294117638,0.017741176470963183,47,142997
T4/S08,roc_34,0.9289756599172359,0.42897565991723585,high,1.166997666004657,0.010422799659295021,47,143016
T4/S08,mom_34,0.9268214596432597,0.4268214596432597,high,19.449999999999818,0.16999999999984539,47,143016
T4/S08,wma_21_minus_wma_50,0.9264572915499624,0.42645729154996237,high,5.8022248026481975,0.04577550292856358,47,143001
T4/S08,close_minus_wma_50,0.9264296172902823,0.4264296172902823,high,11.29504313725488,0.09029019607851296,47,143001
T4/S08,ema_8_minus_ema_21,0.9248449588763554,0.4248449588763554,high,3.9442609558893764,0.03411586341974271,47,143030
T4/S08,adx_14_dmp_14,0.9153367399805348,0.4153367399805348,high,34.09244436516493,20.044284668320756,47,143037
T4/S08,ao,0.9146160871516688,0.41461608715166876,high,8.631411764705945,0.07632352941186582,47,143017
T4/S08,close_minus_ema_21,0.9131820284689569,0.4131820284689569,high,6.964351030106627,0.0550656471880302,47,143030
T4/S08,rsi_14,0.9112068756499396,0.41120687564993963,high,69.74758825358386,50.385944611977926,47,143037
T4/S08,ema_21_slope_4,0.9109623276351184,0.4109623276351184,high,2.3853327593749327,0.021919445095250012,47,143026
T4/S08,sma_21_minus_sma_50,0.9065046710728254,0.4065046710728254,high,6.313790476190434,0.07078095238102833,47,143001
T4/S08,adx_14_dmn_14,0.09471437162739768,0.4052856283726023,low,10.217485772673745,20.4674012327433,47,143037
T4/S08,adx_14_adx_14,0.8948604132928557,0.3948604132928557,high,48.512223991128124,23.408946861593343,47,143037
T4/S08,sma_21_slope_4,0.8916131451772941,0.39161314517729406,high,2.057142857142935,0.018095238095156674,47,143026
T4/S08,close_minus_sma_21,0.8862207898655393,0.3862207898655393,high,6.028095238095375,0.05333333333328483,47,143030
T4/S08,efi_13,0.8776412411667328,0.3776412411667328,high,1619.6583004812837,1.6313185644508215,47,143037
T4/S08,wma_21_slope_4,0.8776011116562351,0.3776011116562351,high,1.8089610389613426,0.01744588744588782,47,143026
T4/S08,close_minus_wma_21,0.8756638616210555,0.3756638616210555,high,4.405800865800529,0.03969696969693359,47,143030
T4/S08,rsi_8,0.8607052543789466,0.3607052543789466,high,73.72120091437601,50.45035754171215,47,143043
T4/S08,roc_20,0.8598837321734318,0.35988373217343184,high,0.7221599952838531,0.0056175760128335216,47,143030
T4/S08,mom_10,0.8585251410109953,0.3585251410109953,high,5.220000000000027,0.05999999999994543,47,143040
T4/S08,roc_10,0.858491598838593,0.35849159883859305,high,0.3318773960975813,0.0038075487194352236,47,143040
T4/S08,adx_7_dmp_7,0.8574268473857471,0.35742684738574715,high,34.33107386707281,19.412993819225036,47,143044
T4/S08,mom_20,0.8566840612220916,0.3566840612220916,high,11.170000000000073,0.08999999999991815,47,143030
T4/S08,wma_8_minus_wma_21,0.8536349315200947,0.35363493152009473,high,1.8360786435782757,0.022135642135708622,47,143030
T4/S08,bars_since_ema_8_cross_below_ema_21,0.8524338611819577,0.35243386118195774,high,103.0,25.0,47,142977
T4/S08,ema_8_slope_4,0.8486175396592478,0.3486175396592478,high,1.9126522693381958,0.021461327370161598,47,143039
T4/S08,cmo_21,0.8473584363117552,0.3473584363117552,high,38.26961770623788,0.6765899864676174,47,143029
T4/S08,close_minus_ema_8,0.8466888620457976,0.34668886204579763,high,2.669273913826828,0.02628975247944254,47,143043
T5/S09,fisher_9,0.9723499380222685,0.47234993802226855,high,3.847621543574207,0.05133098525162588,67,143022
T5/S09,cmo_14,0.9691958065019757,0.4691958065019757,high,69.25515055467454,0.6781960766279901,67,143016
T5/S09,fisher_14,0.96849450837647,0.46849450837647,high,4.016031696411191,0.06919531118582961,67,143017
T5/S09,adx_7_adx_7,0.9626255190653734,0.4626255190653734,high,68.91574017102732,32.1015582997159,67,143024
