strategy,rule_size,rule,matched,true_positive,false_positive,precision,recall,total_positive,base_rate,precision_lift_vs_base,score
T5/S09,2,cmo_14 >= 69.2552 AND adx_7_adx_7 >= 68.9157,420,18,402,0.04285714285714286,0.26865671641791045,67,0.0004682138689140932,91.53326226012794,0.011513859275053304
T5/S09,2,adx_7_adx_7 >= 68.9157 AND adx_14_dmn_14 <= 7.1122,900,26,874,0.028888888888888888,0.3880597014925373,67,0.0004682138689140932,61.700199004975126,0.0112106135986733
T5/S09,3,cmo_14 >= 69.2552 AND adx_7_adx_7 >= 68.9157 AND rsi_14 >= 74.7930,385,17,368,0.04415584415584416,0.2537313432835821,67,0.0004682138689140932,94.30699748013181,0.011203721651482847
T5/S09,2,fisher_9 >= 3.8476 AND adx_14_dmn_14 <= 7.1122,721,23,698,0.0319001386962552,0.34328358208955223,67,0.0004682138689140932,68.13155443310494,0.010950793880804024
T5/S09,3,cmo_14 >= 69.2552 AND rsi_14 >= 74.7930 AND adx_14_dmn_14 <= 7.1122,548,20,528,0.0364963503649635,0.29850746268656714,67,0.0004682138689140932,77.94803355485347,0.010894432944765223
T5/S09,3,fisher_14 >= 4.0160 AND adx_7_adx_7 >= 68.9157 AND rsi_14 >= 74.7930,498,19,479,0.03815261044176707,0.2835820895522388,67,0.0004682138689140932,81.48543427441109,0.01081939699094887
T5/S09,2,fisher_9 >= 3.8476 AND cmo_14 >= 69.2552,692,22,670,0.031791907514450865,0.3283582089552239,67,0.0004682138689140932,67.90039685963247,0.01043913381071521
T5/S09,2,rsi_14 >= 74.7930 AND adx_14_dmn_14 <= 7.1122,1043,27,1016,0.02588686481303931,0.40298507462686567,67,0.0004682138689140932,55.28854767390278,0.010432020148538229
T5/S09,3,cmo_14 >= 69.2552 AND fisher_14 >= 4.0160 AND adx_7_adx_7 >= 68.9157,336,15,321,0.044642857142857144,0.22388059701492538,67,0.0004682138689140932,95.34714818763327,0.009994669509594883
T5/S09,3,fisher_9 >= 3.8476 AND cmo_14 >= 69.2552 AND adx_14_dmn_14 <= 7.1122,337,15,322,0.04451038575667656,0.22388059701492538,67,0.0004682138689140932,95.06421896452457,0.00996501173656938
T5/S09,3,fisher_9 >= 3.8476 AND adx_7_adx_7 >= 68.9157 AND rsi_14 >= 74.7930,438,17,421,0.03881278538812785,0.2537313432835821,67,0.0004682138689140932,82.89542015947659,0.009848020173107068
T5/S09,3,fisher_9 >= 3.8476 AND cmo_14 >= 69.2552 AND adx_7_adx_7 >= 68.9157,299,14,285,0.046822742474916385,0.208955223880597,67,0.0004682138689140932,100.00289522288224,0.009783856636549692
T5/S09,3,fisher_9 >= 3.8476 AND adx_7_adx_7 >= 68.9157 AND adx_14_dmn_14 <= 7.1122,496,18,478,0.036290322580645164,0.26865671641791045,67,0.0004682138689140932,77.50800433317285,0.00974963890226288
